features,feature_codes,n_features,annual_return,annual_volatility,sharpe_ratio,sortino_ratio,max_drawdown,calmar_ratio
CPI YoY+Yield Curve,CY,2,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
PCE YoY+Yield Curve,PY,2,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
PCE YoY+Yield Curve+GDP Proxy,GPY,3,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
CPI YoY+Yield Curve+GDP Proxy,CGY,3,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
PCE YoY+Unemployment+Yield Curve,PUY,3,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
CPI YoY+PCE YoY+Unemployment+Yield Curve+GDP Proxy,CGPUY,5,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
PCE YoY+Unemployment+Yield Curve+GDP Proxy,GPUY,4,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
CPI YoY+PCE YoY+Yield Curve+GDP Proxy,CGPY,4,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
CPI YoY+Unemployment+Yield Curve+GDP Proxy,CGUY,4,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
CPI YoY+PCE YoY+Unemployment+Yield Curve,CPUY,4,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
CPI YoY+PCE YoY+Yield Curve,CPY,3,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
CPI YoY+Unemployment+Yield Curve,CUY,3,0.11337543774235548,0.11229043288568757,0.6565809607620792,0.8670398420005914,-0.2637897517439555,0.42979470200344266
Yield Curve+GDP Proxy,GY,2,0.11399655912111561,0.11852370084095076,0.632859676349372,0.8129948971960056,-0.28574666674371424,0.39894274330541524
Unemployment+Yield Curve,UY,2,0.11399655912111561,0.11852370084095076,0.632859676349372,0.8129948971960056,-0.28574666674371424,0.39894274330541524
Yield Curve,Y,1,0.11399655912111561,0.11852370084095076,0.632859676349372,0.8129948971960056,-0.28574666674371424,0.39894274330541524
Unemployment+Yield Curve+GDP Proxy,GUY,3,0.11399655912111561,0.11852370084095076,0.632859676349372,0.8129948971960056,-0.28574666674371424,0.39894274330541524
VIX+Unemployment+Yield Curve,UVY,3,0.10646238605978864,0.1168152556359724,0.5822800125075908,0.7353649488908528,-0.28498506474419505,0.37357180859758443
VIX+Yield Curve+GDP Proxy,GVY,3,0.10646238605978864,0.1168152556359724,0.5822800125075908,0.7353649488908528,-0.28498506474419505,0.37357180859758443
VIX+Yield Curve,VY,2,0.10646238605978864,0.1168152556359724,0.5822800125075908,0.7353649488908528,-0.28498506474419505,0.37357180859758443
VIX+Unemployment+Yield Curve+GDP Proxy,GUVY,4,0.10646238605978864,0.1168152556359724,0.5822800125075908,0.7353649488908528,-0.28498506474419505,0.37357180859758443
VIX+CPI YoY+Unemployment+Yield Curve,CUVY,4,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+PCE YoY+Unemployment+Yield Curve,PUVY,4,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+CPI YoY+Yield Curve+GDP Proxy,CGVY,4,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+CPI YoY+PCE YoY+Yield Curve,CPVY,4,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+CPI YoY+Yield Curve,CVY,3,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+PCE YoY+Yield Curve,PVY,3,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+CPI YoY+PCE YoY+Unemployment+Yield Curve+GDP Proxy,CGPUVY,6,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+CPI YoY+PCE YoY+Unemployment+Yield Curve,CPUVY,5,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+CPI YoY+PCE YoY+Yield Curve+GDP Proxy,CGPVY,5,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+CPI YoY+Unemployment+Yield Curve+GDP Proxy,CGUVY,5,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+PCE YoY+Unemployment+Yield Curve+GDP Proxy,GPUVY,5,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
VIX+PCE YoY+Yield Curve+GDP Proxy,GPVY,4,0.10357313337750362,0.11601687582136651,0.5629403040480143,0.704767844232267,-0.2854294821808995,0.36286767781003454
CPI YoY,C,1,0.10307903242362548,0.1360471806226038,0.4955846007351176,0.5593843961232018,-0.2637897517439549,0.3907620813248204
CPI YoY+PCE YoY,CP,2,0.10307903242362548,0.1360471806226038,0.4955846007351176,0.5593843961232018,-0.2637897517439549,0.3907620813248204
CPI YoY+GDP Proxy,CG,2,0.10307903242362548,0.1360471806226038,0.4955846007351176,0.5593843961232018,-0.2637897517439549,0.3907620813248204
PCE YoY+GDP Proxy,GP,2,0.10307903242362548,0.1360471806226038,0.4955846007351176,0.5593843961232018,-0.2637897517439549,0.3907620813248204
PCE YoY,P,1,0.10307903242362548,0.1360471806226038,0.4955846007351176,0.5593843961232018,-0.2637897517439549,0.3907620813248204
CPI YoY+PCE YoY+GDP Proxy,CGP,3,0.10307903242362548,0.1360471806226038,0.4955846007351176,0.5593843961232018,-0.2637897517439549,0.3907620813248204
GDP Proxy,G,1,0.10329057348420578,0.14545286283625602,0.4739573596380477,0.5341952223871104,-0.2837633879290888,0.3640024678237125
VIX+GDP Proxy,GV,2,0.09581404408704697,0.14313486159422645,0.4317859936127026,0.4738457458793741,-0.28334377781069225,0.33815474907326987
VIX,V,1,0.09581404408704697,0.14313486159422645,0.4317859936127026,0.4738457458793741,-0.28334377781069225,0.33815474907326987
VIX+PCE YoY,PV,2,0.09229391726912639,0.14132473187744557,0.41273432518332137,0.44554948004592226,-0.28964730022143603,0.3186424220027857
VIX+CPI YoY,CV,2,0.09229391726912639,0.14132473187744557,0.41273432518332137,0.44554948004592226,-0.28964730022143603,0.3186424220027857
VIX+PCE YoY+GDP Proxy,GPV,3,0.09229391726912639,0.14132473187744557,0.41273432518332137,0.44554948004592226,-0.28964730022143603,0.3186424220027857
VIX+CPI YoY+PCE YoY,CPV,3,0.09229391726912639,0.14132473187744557,0.41273432518332137,0.44554948004592226,-0.28964730022143603,0.3186424220027857
VIX+CPI YoY+GDP Proxy,CGV,3,0.09229391726912639,0.14132473187744557,0.41273432518332137,0.44554948004592226,-0.28964730022143603,0.3186424220027857
VIX+CPI YoY+PCE YoY+GDP Proxy,CGPV,4,0.09229391726912639,0.14132473187744557,0.41273432518332137,0.44554948004592226,-0.28964730022143603,0.3186424220027857
CPI YoY+PCE YoY+Unemployment,CPU,3,0.08214336344818629,0.13164087051102158,0.3620705976742925,0.3824765109654329,-0.263789751743955,0.3113970990348327
CPI YoY+PCE YoY+Unemployment+GDP Proxy,CGPU,4,0.08214336344818629,0.13164087051102158,0.3620705976742925,0.3824765109654329,-0.263789751743955,0.3113970990348327
CPI YoY+Unemployment+GDP Proxy,CGU,3,0.08214336344818629,0.13164087051102158,0.3620705976742925,0.3824765109654329,-0.263789751743955,0.3113970990348327
PCE YoY+Unemployment+GDP Proxy,GPU,3,0.08214336344818629,0.13164087051102158,0.3620705976742925,0.3824765109654329,-0.263789751743955,0.3113970990348327
PCE YoY+Unemployment,PU,2,0.08214336344818629,0.13164087051102158,0.3620705976742925,0.3824765109654329,-0.263789751743955,0.3113970990348327
CPI YoY+Unemployment,CU,2,0.08214336344818629,0.13164087051102158,0.3620705976742925,0.3824765109654329,-0.263789751743955,0.3113970990348327
Unemployment,U,1,0.08235088960730552,0.1413409231282528,0.3479449172080249,0.3643139883459985,-0.2837633879290894,0.29020970678530406
Unemployment+GDP Proxy,GU,2,0.08235088960730552,0.1413409231282528,0.3479449172080249,0.3643139883459985,-0.2837633879290894,0.29020970678530406
VIX+Unemployment+GDP Proxy,GUV,3,0.07499735109259609,0.13895010806509245,0.3024567959541692,0.3030358231222432,-0.283343777810692,0.26468677615607783
VIX+Unemployment,UV,2,0.07499735109259609,0.13895010806509245,0.3024567959541692,0.3030358231222432,-0.283343777810692,0.26468677615607783
VIX+PCE YoY+Unemployment,PUV,3,0.07154409456134969,0.13708274202675355,0.2812341168693647,0.27426049380603745,-0.28964730022143576,0.24700418235092864
VIX+CPI YoY+Unemployment,CUV,3,0.07154409456134969,0.13708274202675355,0.2812341168693647,0.27426049380603745,-0.28964730022143576,0.24700418235092864
VIX+CPI YoY+Unemployment+GDP Proxy,CGUV,4,0.07154409456134969,0.13708274202675355,0.2812341168693647,0.27426049380603745,-0.28964730022143576,0.24700418235092864
VIX+CPI YoY+PCE YoY+Unemployment,CPUV,4,0.07154409456134969,0.13708274202675355,0.2812341168693647,0.27426049380603745,-0.28964730022143576,0.24700418235092864
VIX+PCE YoY+Unemployment+GDP Proxy,GPUV,4,0.07154409456134969,0.13708274202675355,0.2812341168693647,0.27426049380603745,-0.28964730022143576,0.24700418235092864
VIX+CPI YoY+PCE YoY+Unemployment+GDP Proxy,CGPUV,5,0.07154409456134969,0.13708274202675355,0.2812341168693647,0.27426049380603745,-0.28964730022143576,0.24700418235092864
