,cpi,pce,unemployment,cpi_yoy,pce_yoy
2010-01-01,217.488,90.136,9.8,,
2010-01-04,217.488,90.136,9.8,,
2010-01-05,217.488,90.136,9.8,,
2010-01-06,217.488,90.136,9.8,,
2010-01-07,217.488,90.136,9.8,,
2010-01-08,217.488,90.136,9.8,,
2010-01-11,217.488,90.136,9.8,,
2010-01-12,217.488,90.136,9.8,,
2010-01-13,217.488,90.136,9.8,,
2010-01-14,217.488,90.136,9.8,,
2010-01-15,217.488,90.136,9.8,,
2010-01-18,217.488,90.136,9.8,,
2010-01-19,217.488,90.136,9.8,,
2010-01-20,217.488,90.136,9.8,,
2010-01-21,217.488,90.136,9.8,,
2010-01-22,217.488,90.136,9.8,,
2010-01-25,217.488,90.136,9.8,,
2010-01-26,217.488,90.136,9.8,,
2010-01-27,217.488,90.136,9.8,,
2010-01-28,217.488,90.136,9.8,,
2010-01-29,217.488,90.136,9.8,,
2010-02-01,217.281,90.134,9.8,,
2010-02-02,217.281,90.134,9.8,,
2010-02-03,217.281,90.134,9.8,,
2010-02-04,217.281,90.134,9.8,,
2010-02-05,217.281,90.134,9.8,,
2010-02-08,217.281,90.134,9.8,,
2010-02-09,217.281,90.134,9.8,,
2010-02-10,217.281,90.134,9.8,,
2010-02-11,217.281,90.134,9.8,,
2010-02-12,217.281,90.134,9.8,,
2010-02-15,217.281,90.134,9.8,,
2010-02-16,217.281,90.134,9.8,,
2010-02-17,217.281,90.134,9.8,,
2010-02-18,217.281,90.134,9.8,,
2010-02-19,217.281,90.134,9.8,,
2010-02-22,217.281,90.134,9.8,,
2010-02-23,217.281,90.134,9.8,,
2010-02-24,217.281,90.134,9.8,,
2010-02-25,217.281,90.134,9.8,,
2010-02-26,217.281,90.134,9.8,,
2010-03-01,217.353,90.261,9.9,,
2010-03-02,217.353,90.261,9.9,,
2010-03-03,217.353,90.261,9.9,,
2010-03-04,217.353,90.261,9.9,,
2010-03-05,217.353,90.261,9.9,,
2010-03-08,217.353,90.261,9.9,,
2010-03-09,217.353,90.261,9.9,,
2010-03-10,217.353,90.261,9.9,,
2010-03-11,217.353,90.261,9.9,,
2010-03-12,217.353,90.261,9.9,,
2010-03-15,217.353,90.261,9.9,,
2010-03-16,217.353,90.261,9.9,,
2010-03-17,217.353,90.261,9.9,,
2010-03-18,217.353,90.261,9.9,,
2010-03-19,217.353,90.261,9.9,,
2010-03-22,217.353,90.261,9.9,,
2010-03-23,217.353,90.261,9.9,,
2010-03-24,217.353,90.261,9.9,,
2010-03-25,217.353,90.261,9.9,,
2010-03-26,217.353,90.261,9.9,,
2010-03-29,217.353,90.261,9.9,,
2010-03-30,217.353,90.261,9.9,,
2010-03-31,217.353,90.261,9.9,,
2010-04-01,217.403,90.31,9.9,,
2010-04-02,217.403,90.31,9.9,,
2010-04-05,217.403,90.31,9.9,,
2010-04-06,217.403,90.31,9.9,,
2010-04-07,217.403,90.31,9.9,,
2010-04-08,217.403,90.31,9.9,,
2010-04-09,217.403,90.31,9.9,,
2010-04-12,217.403,90.31,9.9,,
2010-04-13,217.403,90.31,9.9,,
2010-04-14,217.403,90.31,9.9,,
2010-04-15,217.403,90.31,9.9,,
2010-04-16,217.403,90.31,9.9,,
2010-04-19,217.403,90.31,9.9,,
2010-04-20,217.403,90.31,9.9,,
2010-04-21,217.403,90.31,9.9,,
2010-04-22,217.403,90.31,9.9,,
2010-04-23,217.403,90.31,9.9,,
2010-04-26,217.403,90.31,9.9,,
2010-04-27,217.403,90.31,9.9,,
2010-04-28,217.403,90.31,9.9,,
2010-04-29,217.403,90.31,9.9,,
2010-04-30,217.403,90.31,9.9,,
2010-05-03,217.403,90.31,9.9,,
2010-05-04,217.403,90.31,9.9,,
2010-05-05,217.403,90.31,9.9,,
2010-05-06,217.403,90.31,9.9,,
2010-05-07,217.403,90.31,9.9,,
2010-05-10,217.403,90.31,9.9,,
2010-05-11,217.403,90.31,9.9,,
2010-05-12,217.403,90.31,9.9,,
2010-05-13,217.403,90.31,9.9,,
2010-05-14,217.403,90.31,9.9,,
2010-05-17,217.403,90.31,9.9,,
2010-05-18,217.403,90.31,9.9,,
2010-05-19,217.403,90.31,9.9,,
2010-05-20,217.403,90.31,9.9,,
2010-05-21,217.403,90.31,9.9,,
2010-05-24,217.403,90.31,9.9,,
2010-05-25,217.403,90.31,9.9,,
2010-05-26,217.403,90.31,9.9,,
2010-05-27,217.403,90.31,9.9,,
2010-05-28,217.403,90.31,9.9,,
2010-05-31,217.403,90.31,9.9,,
2010-06-01,217.199,90.301,9.4,,
2010-06-02,217.199,90.301,9.4,,
2010-06-03,217.199,90.301,9.4,,
2010-06-04,217.199,90.301,9.4,,
2010-06-07,217.199,90.301,9.4,,
2010-06-08,217.199,90.301,9.4,,
2010-06-09,217.199,90.301,9.4,,
2010-06-10,217.199,90.301,9.4,,
2010-06-11,217.199,90.301,9.4,,
2010-06-14,217.199,90.301,9.4,,
2010-06-15,217.199,90.301,9.4,,
2010-06-16,217.199,90.301,9.4,,
2010-06-17,217.199,90.301,9.4,,
2010-06-18,217.199,90.301,9.4,,
2010-06-21,217.199,90.301,9.4,,
2010-06-22,217.199,90.301,9.4,,
2010-06-23,217.199,90.301,9.4,,
2010-06-24,217.199,90.301,9.4,,
2010-06-25,217.199,90.301,9.4,,
2010-06-28,217.199,90.301,9.4,,
2010-06-29,217.199,90.301,9.4,,
2010-06-30,217.199,90.301,9.4,,
2010-07-01,217.605,90.378,9.4,,
2010-07-02,217.605,90.378,9.4,,
2010-07-05,217.605,90.378,9.4,,
2010-07-06,217.605,90.378,9.4,,
2010-07-07,217.605,90.378,9.4,,
2010-07-08,217.605,90.378,9.4,,
2010-07-09,217.605,90.378,9.4,,
2010-07-12,217.605,90.378,9.4,,
2010-07-13,217.605,90.378,9.4,,
2010-07-14,217.605,90.378,9.4,,
2010-07-15,217.605,90.378,9.4,,
2010-07-16,217.605,90.378,9.4,,
2010-07-19,217.605,90.378,9.4,,
2010-07-20,217.605,90.378,9.4,,
2010-07-21,217.605,90.378,9.4,,
2010-07-22,217.605,90.378,9.4,,
2010-07-23,217.605,90.378,9.4,,
2010-07-26,217.605,90.378,9.4,,
2010-07-27,217.605,90.378,9.4,,
2010-07-28,217.605,90.378,9.4,,
2010-07-29,217.605,90.378,9.4,,
2010-07-30,217.605,90.378,9.4,,
2010-08-02,217.605,90.378,9.4,,
2010-08-03,217.605,90.378,9.4,,
2010-08-04,217.605,90.378,9.4,,
2010-08-05,217.605,90.378,9.4,,
2010-08-06,217.605,90.378,9.4,,
2010-08-09,217.605,90.378,9.4,,
2010-08-10,217.605,90.378,9.4,,
2010-08-11,217.605,90.378,9.4,,
2010-08-12,217.605,90.378,9.4,,
2010-08-13,217.605,90.378,9.4,,
2010-08-16,217.605,90.378,9.4,,
2010-08-17,217.605,90.378,9.4,,
2010-08-18,217.605,90.378,9.4,,
2010-08-19,217.605,90.378,9.4,,
2010-08-20,217.605,90.378,9.4,,
2010-08-23,217.605,90.378,9.4,,
2010-08-24,217.605,90.378,9.4,,
2010-08-25,217.605,90.378,9.4,,
2010-08-26,217.605,90.378,9.4,,
2010-08-27,217.605,90.378,9.4,,
2010-08-30,217.605,90.378,9.4,,
2010-08-31,217.605,90.378,9.4,,
2010-09-01,218.275,90.592,9.5,,
2010-09-02,218.275,90.592,9.5,,
2010-09-03,218.275,90.592,9.5,,
2010-09-06,218.275,90.592,9.5,,
2010-09-07,218.275,90.592,9.5,,
2010-09-08,218.275,90.592,9.5,,
2010-09-09,218.275,90.592,9.5,,
2010-09-10,218.275,90.592,9.5,,
2010-09-13,218.275,90.592,9.5,,
2010-09-14,218.275,90.592,9.5,,
2010-09-15,218.275,90.592,9.5,,
2010-09-16,218.275,90.592,9.5,,
2010-09-17,218.275,90.592,9.5,,
2010-09-20,218.275,90.592,9.5,,
2010-09-21,218.275,90.592,9.5,,
2010-09-22,218.275,90.592,9.5,,
2010-09-23,218.275,90.592,9.5,,
2010-09-24,218.275,90.592,9.5,,
2010-09-27,218.275,90.592,9.5,,
2010-09-28,218.275,90.592,9.5,,
2010-09-29,218.275,90.592,9.5,,
2010-09-30,218.275,90.592,9.5,,
2010-10-01,219.035,90.881,9.4,,
2010-10-04,219.035,90.881,9.4,,
2010-10-05,219.035,90.881,9.4,,
2010-10-06,219.035,90.881,9.4,,
2010-10-07,219.035,90.881,9.4,,
2010-10-08,219.035,90.881,9.4,,
2010-10-11,219.035,90.881,9.4,,
2010-10-12,219.035,90.881,9.4,,
2010-10-13,219.035,90.881,9.4,,
2010-10-14,219.035,90.881,9.4,,
2010-10-15,219.035,90.881,9.4,,
2010-10-18,219.035,90.881,9.4,,
2010-10-19,219.035,90.881,9.4,,
2010-10-20,219.035,90.881,9.4,,
2010-10-21,219.035,90.881,9.4,,
2010-10-22,219.035,90.881,9.4,,
2010-10-25,219.035,90.881,9.4,,
2010-10-26,219.035,90.881,9.4,,
2010-10-27,219.035,90.881,9.4,,
2010-10-28,219.035,90.881,9.4,,
2010-10-29,219.035,90.881,9.4,,
2010-11-01,219.59,91.062,9.8,,
2010-11-02,219.59,91.062,9.8,,
2010-11-03,219.59,91.062,9.8,,
2010-11-04,219.59,91.062,9.8,,
2010-11-05,219.59,91.062,9.8,,
2010-11-08,219.59,91.062,9.8,,
2010-11-09,219.59,91.062,9.8,,
2010-11-10,219.59,91.062,9.8,,
2010-11-11,219.59,91.062,9.8,,
2010-11-12,219.59,91.062,9.8,,
2010-11-15,219.59,91.062,9.8,,
2010-11-16,219.59,91.062,9.8,,
2010-11-17,219.59,91.062,9.8,,
2010-11-18,219.59,91.062,9.8,,
2010-11-19,219.59,91.062,9.8,,
2010-11-22,219.59,91.062,9.8,,
2010-11-23,219.59,91.062,9.8,,
2010-11-24,219.59,91.062,9.8,,
2010-11-25,219.59,91.062,9.8,,
2010-11-26,219.59,91.062,9.8,,
2010-11-29,219.59,91.062,9.8,,
2010-11-30,219.59,91.062,9.8,,
2010-12-01,220.472,91.268,9.3,,
2010-12-02,220.472,91.268,9.3,,
2010-12-03,220.472,91.268,9.3,,
2010-12-06,220.472,91.268,9.3,,
2010-12-07,220.472,91.268,9.3,,
2010-12-08,220.472,91.268,9.3,,
2010-12-09,220.472,91.268,9.3,,
2010-12-10,220.472,91.268,9.3,,
2010-12-13,220.472,91.268,9.3,,
2010-12-14,220.472,91.268,9.3,,
2010-12-15,220.472,91.268,9.3,,
2010-12-16,220.472,91.268,9.3,,
2010-12-17,220.472,91.268,9.3,,
2010-12-20,220.472,91.268,9.3,,
2010-12-21,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2010-12-22,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2010-12-23,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2010-12-24,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2010-12-27,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2010-12-28,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2010-12-29,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2010-12-30,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2010-12-31,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-03,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-04,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-05,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-06,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-07,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-10,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-11,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-12,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-13,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-14,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-17,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-18,220.472,91.268,9.3,1.3720297211800236,1.2558800035501916
2011-01-19,220.472,91.268,9.3,1.4686051702633929,1.2581267890030334
2011-01-20,220.472,91.268,9.3,1.4686051702633929,1.2581267890030334
2011-01-21,220.472,91.268,9.3,1.4686051702633929,1.2581267890030334
2011-01-24,220.472,91.268,9.3,1.4686051702633929,1.2581267890030334
2011-01-25,220.472,91.268,9.3,1.4686051702633929,1.2581267890030334
2011-01-26,220.472,91.268,9.3,1.4686051702633929,1.2581267890030334
2011-01-27,220.472,91.268,9.3,1.4686051702633929,1.2581267890030334
2011-01-28,220.472,91.268,9.3,1.4686051702633929,1.2581267890030334
2011-01-31,220.472,91.268,9.3,1.4686051702633929,1.2581267890030334
2011-02-01,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-02,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-03,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-04,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-07,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-08,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-09,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-10,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-11,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-14,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-15,221.898,91.797,9.0,2.124898173333145,1.8450307320212023
2011-02-16,221.898,91.797,9.0,2.091068446260236,1.7017316448964648
2011-02-17,221.898,91.797,9.0,2.091068446260236,1.7017316448964648
2011-02-18,221.898,91.797,9.0,2.091068446260236,1.7017316448964648
2011-02-21,221.898,91.797,9.0,2.091068446260236,1.7017316448964648
2011-02-22,221.898,91.797,9.0,2.091068446260236,1.7017316448964648
2011-02-23,221.898,91.797,9.0,2.091068446260236,1.7017316448964648
2011-02-24,221.898,91.797,9.0,2.091068446260236,1.7017316448964648
2011-02-25,221.898,91.797,9.0,2.091068446260236,1.7017316448964648
2011-02-28,221.898,91.797,9.0,2.091068446260236,1.7017316448964648
2011-03-01,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-02,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-03,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-04,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-07,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-08,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-09,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-10,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-11,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-14,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-15,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-16,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-17,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-18,223.046,92.166,9.0,2.619241510354109,2.1105460830258993
2011-03-21,223.046,92.166,9.0,2.5956403545489337,2.055143394972858
2011-03-22,223.046,92.166,9.0,2.5956403545489337,2.055143394972858
2011-03-23,223.046,92.166,9.0,2.5956403545489337,2.055143394972858
2011-03-24,223.046,92.166,9.0,2.5956403545489337,2.055143394972858
2011-03-25,223.046,92.166,9.0,2.5956403545489337,2.055143394972858
2011-03-28,223.046,92.166,9.0,2.5956403545489337,2.055143394972858
2011-03-29,223.046,92.166,9.0,2.5956403545489337,2.055143394972858
2011-03-30,223.046,92.166,9.0,2.5956403545489337,2.055143394972858
2011-03-31,223.046,92.166,9.0,2.5956403545489337,2.055143394972858
2011-04-01,224.093,92.557,9.1,3.0772344447868694,2.488096556306063
2011-04-04,224.093,92.557,9.1,3.0772344447868694,2.488096556306063
2011-04-05,224.093,92.557,9.1,3.0772344447868694,2.488096556306063
2011-04-06,224.093,92.557,9.1,3.0772344447868694,2.488096556306063
2011-04-07,224.093,92.557,9.1,3.0772344447868694,2.488096556306063
2011-04-08,224.093,92.557,9.1,3.0772344447868694,2.488096556306063
2011-04-11,224.093,92.557,9.1,3.0772344447868694,2.488096556306063
