Date,Equal Weight (1/N),Buy-and-Hold SPY,Vanilla PPO,PPO + DeepAR + TPG,MacroHRL (Ours)
2023-01-04,101414.33389405829,100771.99889223778,101414.33389405829,101414.33389405829,101163.40551622554
2023-01-05,100434.82674056824,99621.8535943166,100434.82674056824,100434.82674056824,100370.63517558723
2023-01-06,102635.01287823815,101906.39642648312,102635.01287823815,102635.01287823815,102514.59209443095
2023-01-09,103008.98947356615,101848.60738582621,103008.98947356615,103008.98947356615,102873.4986116897
2023-01-10,103186.34270650001,102562.86725677291,103186.34270650001,103186.34270650001,102905.98434281192
2023-01-11,104472.2413689678,103860.06115367665,104472.2413689678,104472.2413689678,104146.47712835248
2023-01-12,105494.2002777242,104238.19922279907,105494.2002777242,105494.2002777242,105170.44223514275
2023-01-13,105745.34156274932,104642.59745898285,105745.34156274932,105745.34156274932,105347.14183892016
2023-01-17,105536.24536346432,104450.90657599598,105536.24536346432,105536.24536346432,105100.32032203011
2023-01-18,105124.79967520441,102801.83477703114,105124.79967520441,105124.79967520441,104911.62704480016
2023-01-19,104955.95264720709,102053.43668890468,104955.95264720709,104955.95264720709,104541.40036163955
2023-01-20,105801.44452063146,103954.5977550975,105801.44452063146,105801.44452063146,105251.51423537954
2023-01-23,106424.41457708851,105201.89733458468,106424.41457708851,106424.41457708851,105878.41375378067
2023-01-24,106657.08303563131,105089.0036259038,106657.08303563131,106657.08303563131,106180.15540126919
2023-01-25,106831.16287887568,105128.37720337388,106831.16287887568,106831.16287887568,106328.59172690498
2023-01-26,107376.2405005679,106283.79120782927,107376.2405005679,107376.2405005679,106836.82658006377
2023-01-27,107508.57528807234,106527.99408837788,107508.57528807234,107508.57528807234,106942.17721571942
2023-01-30,106383.09381838646,105191.40994088209,106383.09381838646,106383.09381838646,105911.19275291542
2023-01-31,107362.73004766196,106738.06708830768,107362.73004766196,107362.73004766196,106952.90141036992
2023-02-01,108631.76352258402,107872.472959114,108631.76352258402,108631.76352258402,108278.19328656877
2023-02-02,109338.7763482,109442.74758377286,109376.18265021185,109336.13983746416,109054.96668324691
2023-02-03,107634.95476411538,108279.48887544296,107665.2861739599,107682.26437048688,107431.72985339533
2023-02-06,106847.88057606062,107617.73266549701,106864.37836194503,106839.10121353151,106646.1947998033
2023-02-07,107389.04241067436,109025.2276006194,107386.8662718007,107601.90682940921,107277.42032870815
2023-02-08,106881.40694512725,107833.06603540004,106851.58991726289,106819.7335628707,106673.36130332858
2023-02-09,106270.3656652242,106898.25410738192,106231.23957091922,106142.69591920469,105983.53265134833
2023-02-10,105848.8805948611,107147.71735790375,105807.88004011549,105745.16256133308,105545.51434007852
2023-02-13,106653.13875542414,108405.5126676545,106620.77056036469,106701.4863644279,106418.0512219541
2023-02-14,106623.90870310615,108355.61835023794,106589.7328812001,106714.42384623135,106436.0180741858
2023-02-15,106372.50366117964,108707.50458886001,106331.68422902857,106639.70843750762,106248.33861467334
2023-02-16,105442.59395069486,107210.72508572905,105404.99595712511,105491.80683752622,105164.65465884823
2023-02-17,105347.40678534511,106942.88805482525,105319.08122529971,105236.61093672838,105091.5596280305
2023-02-21,103688.29395018979,104797.52410808388,103631.32287914402,103390.0875192953,103322.67504831842
2023-02-22,103558.73057688004,104653.09318924644,103483.84310230584,103231.12285218839,103292.21064513495
2023-02-23,104215.14296251575,105209.79205782505,104117.63705259124,103917.75592230026,103989.69006003904
2023-02-24,102778.07925443548,104085.89025384327,102676.3338088134,102475.35952804543,102612.1409423485
2023-02-27,103325.59064642791,104440.40250917146,103225.35243702645,103010.47249986143,103149.99568907845
2023-02-28,103151.54314853396,104054.39472649159,103048.05465956035,102818.71454759805,103010.85834674136
2023-03-01,103080.68569056872,103655.24018715911,102917.07465208072,102540.10697779863,102768.32595922014
2023-03-02,103404.21223571754,104461.40230625955,103201.52704618358,102898.29129172221,103036.20613336259
2023-03-03,104963.66546458339,106136.73427228574,104746.92705782912,104460.4435884515,104662.06489003569
2023-03-06,104688.64574332205,106210.25440349654,104473.94110669215,104189.28277040136,104404.94339527606
2023-03-07,103343.3296792956,104582.18240161981,103124.538367824,102810.388848207,103204.001954859
2023-03-08,103646.68499131333,104752.88182407954,103416.38704109186,103085.549735607,103434.06588689827
2023-03-09,102592.84299875016,102820.2168939741,102439.94969224789,102036.81728932261,102478.97668901966
2023-03-10,102319.03209653341,101336.57581093478,102161.10520912841,101913.94627356851,102433.880022885
2023-03-13,102749.04497478869,101192.14489209736,102581.57779347435,102408.15394305356,102797.79354392602
2023-03-14,103366.28094156858,102864.8508414174,103184.98708052069,102678.36887112365,103312.91756944786
2023-03-15,103030.36639752863,102221.49342153635,102826.77096695802,102667.28349627959,103240.28588045364
2023-03-16,103974.36217624061,104014.98780277761,103720.38251902474,103307.12177210976,104141.13012816275
2023-03-17,103728.3151594584,102798.7669225935,103436.2964484221,103757.16783789887,104136.1815560944
2023-03-20,104153.5504290914,103787.24129358747,103821.67617590587,103897.65656259164,104401.86812503294
2023-03-21,104551.4442506125,105150.0272522178,104218.32539241486,103819.15801660265,104760.04503575798
2023-03-22,104077.98837656358,103357.59161421996,103730.9683119912,103646.89873658384,104501.80907228029
2023-03-23,104480.13906920217,103637.01646487464,104115.93604595249,104177.32634210872,104927.87622145636
2023-03-24,104757.12147159454,104317.08809927576,104339.07801802343,104120.69373445491,105088.7927391862
2023-03-27,104268.65857121197,104512.14695289527,103844.76318947478,103389.95391449501,104463.38080860258
2023-03-28,104454.08098795793,104277.53945402527,104033.23881429114,103596.12318557056,104581.23894656285
2023-03-29,105438.64480027092,105793.18459463555,105021.9382809195,104343.86123598479,105501.0979029897
2023-03-30,106355.88682586557,106412.64109421031,105923.62349994866,105216.21779863015,106346.82233468234
2023-03-31,107373.27397113708,107912.49678833991,106893.73148914523,106153.6870524831,107414.24258370217
2023-04-03,107568.76564299165,108323.68932171576,107085.40975200113,106385.38184049593,107648.6309487912
2023-04-04,107710.85706674129,107722.72331437659,107179.87447028645,106654.71019283873,107783.66119510535
2023-04-05,107326.30064792832,107440.66411045479,106752.60820239056,106296.77162491859,107503.57303429788
2023-04-06,107677.72601586186,107859.78471331486,107109.77969709768,106487.09609306727,107819.26484115788
2023-04-10,107421.0897778129,107970.4692333382,106887.2480288653,106140.73633471032,107456.19089458302
2023-04-11,107663.12874023867,107999.48046552025,107107.06617726413,106278.37240554171,107615.95408066921
2023-04-12,107463.78523482021,107559.27669996236,106934.95563965496,106006.97870311578,107407.03316297803
2023-04-13,108388.35771382294,108987.95483651421,107852.73048252925,107013.10425021092,108344.20401023007
2023-04-14,107603.94977195356,108721.71842531701,107083.22236397355,106327.88026112739,107651.5013632789
2023-04-17,107721.62425908781,109111.84446911699,107132.66616123999,106394.45775945138,107581.46027797503
2023-04-18,107866.40288084694,109183.00535357275,107265.25269420225,106564.83557156059,107749.00493695347
2023-04-19,107628.90251177952,109164.564880703,107025.10775854722,106236.60600628113,107503.37522159454
2023-04-20,107455.23844533731,108568.83423365414,106834.03665250173,106019.48813051694,107362.13373668549
2023-04-21,107255.98423324028,108653.20023068931,106631.35248023711,105957.49544715068,107232.02988627796
2023-04-24,107403.2225199756,108766.51910397976,106758.0710590785,106050.40021205953,107427.96342984776
2023-04-25,106609.48534436047,107039.99231702543,105946.62690858851,105007.17060117387,106657.09377700517
2023-04-26,106307.57707442815,106586.60844857102,105606.08955515568,104618.40347857265,106284.22294496553
2023-04-27,107493.40800256807,108708.53832242053,106792.4272587869,105808.17241335897,107367.4010027414
2023-04-28,108206.94194923081,109636.38922202715,107464.78085279358,106426.78315316333,108118.3469294188
2023-05-01,107499.19050435892,109525.69636544284,106757.2732728943,105772.85277553649,107345.16740875789
2023-05-02,107318.80204797401,108294.71143577757,106520.11490372333,105465.05006071246,107278.9568576881
2023-05-03,107281.74194423734,107551.37364016104,106495.96346044511,105463.08737456793,107245.79548162581
2023-05-04,107252.90781100084,106789.58703511379,106490.92509203116,105381.0685401899,107023.385481855
2023-05-05,108203.5319306057,108766.51910397976,107444.78426685002,106286.45515320964,107916.17930616514
2023-05-08,107961.99336411867,108795.52199960085,107182.25780836768,106112.8916728804,107646.48533387916
2023-05-09,107636.08529841254,108318.41227862056,106869.67141368531,105795.43268758604,107310.40093492536
2023-05-10,108133.20222574347,108824.54156834389,107352.9695444543,106223.50716537071,107833.98422862367
2023-05-11,107929.15428593208,108634.73474813667,107117.26463660823,106010.3172205369,107735.07428243558
2023-05-12,107493.67211565998,108492.3963061032,106681.4478970173,105603.81343767943,107305.61374984418
2023-05-15,107826.20544026188,108866.69955717857,106992.07314050541,105883.28399480855,107513.23353002549
2023-05-16,106886.67060626812,108139.1845542866,106033.07330341724,105018.44440445685,106696.29529408243
2023-05-17,107466.19347880453,109451.88445459801,106641.8453927788,105592.84761264786,107256.1267565003
2023-05-18,107421.62885325428,110506.24266695256,106550.59754100372,105719.44867858925,107353.55312680638
2023-05-19,107491.80686127636,110345.45541548837,106598.70678463283,105709.2446469656,107346.63829208641
2023-05-22,107718.67583626152,110390.27276727307,106818.71781545215,105931.13254735564,107508.65445772724
2023-05-23,106848.47536719973,109151.38477780648,105949.7053754634,104946.7541624101,106667.35634430968
2023-05-24,105833.863654829,108360.6036136991,104930.5490936977,103994.33014491627,105754.48987859518
2023-05-25,106053.46858040788,109298.99192637416,105160.84694185451,104622.28395364502,106154.9581631963
2023-05-26,107322.31392609177,110714.48162346857,106385.24696655126,106166.99309369794,107476.05821350687
2023-05-30,107423.55378248914,110756.65628542518,106533.18837988283,106289.5444798219,107677.29816556747
2023-05-31,107171.83443412272,110142.51017518951,106291.79239943973,105960.73441209899,107445.59735236499
2023-06-01,108131.94964007958,111188.95699118175,107251.62239564984,106960.9795970693,108389.4614244328
2023-06-02,108888.2291261555,112796.87952518949,107962.13445472113,107869.84386799912,109027.34273599969
2023-06-05,108740.58539049812,112580.7291723112,107792.28416160787,107730.94135460282,108895.87944262104
2023-06-06,109248.34137741313,112825.88242081058,108317.51985732789,108066.6635096071,109308.36668382026
2023-06-07,108599.88493699078,112435.74804044966,107634.6579396716,107218.90994266115,108457.13387654778
2023-06-08,109430.3195762141,113115.82801141172,108449.19480301581,108006.35397717242,109347.5560382761
2023-06-09,109415.51827790028,113318.79826139352,108432.10660121846,108088.32137452002,109365.69234837327
2023-06-12,109874.3304066888,114346.79626795507,108857.34274812331,108769.95031454084,109940.07987952497
2023-06-13,110205.66863619923,115100.679813201,109189.8200958996,109299.70295438974,110252.82351564681
2023-06-14,110650.65307704055,115237.74121213928,109620.50122688313,109768.23668241891,110698.44290882688
2023-06-15,111632.16284493645,116666.41934869117,110588.45953179042,110815.92253621455,111733.76936492813
2023-06-16,111297.90662328897,116269.03216028471,110250.82832987617,110423.47319159018,111363.80827048255
2023-06-20,110500.69701862408,115665.80694492217,109453.1822065462,109604.71514874026,110751.27939732865
2023-06-21,110092.24226862668,115073.1691619939,109055.33428870341,109042.23600866682,110316.50192703631
2023-06-22,109630.41096515431,115488.55498553858,108586.08644580968,108752.22852432559,109971.61132395607
2023-06-23,108939.60420390374,114615.45028183413,107889.67532160722,107961.45858848465,109380.04749393174
2023-06-26,109123.80755816228,114147.177315484,108058.99367432088,107886.3810647151,109354.38614295344
2023-06-27,109881.47639018715,115398.59515609128,108753.20290353968,108690.12100191962,110095.22695065287
2023-06-28,109967.80959082575,115456.80102479676,108826.84535761665,108791.30723051864,110251.08021327859
2023-06-29,109756.1549464985,115911.86054200653,108643.65783379159,108610.37154458673,109967.92217724412
2023-06-30,110801.83714333731,117279.69845658577,109692.7537968029,109669.4920295664,111070.39888030732
2023-07-03,111040.38265123611,117414.63403247623,109910.05742262742,109951.67820816477,111197.38775350791
2023-07-05,110588.38500931145,117240.0247629207,109447.79925908997,109547.59829184732,110747.01619269223
2023-07-06,109410.48112305111,116321.95264933405,108270.96381657795,108400.22595334942,109595.64122749341
2023-07-07,109590.32133800832,116028.28061597848,108439.29809166821,108453.90456615944,109593.2469300278
2023-07-10,109834.79768880681,116321.95264933407,108666.72195229655,108675.23334722398,109817.57193960687
2023-07-11,110644.90875137773,117062.74779385417,109451.68023402579,109486.94079152904,110577.08777703831
2023-07-12,112027.44428431972,118004.62912557645,110794.12930003747,110734.56179889191,111866.05537875697
2023-07-13,113113.59767465599,118941.2167410816,111853.5248911343,111791.763198419,113040.97725326939
2023-07-14,112684.03666073504,118867.1380602857,111419.97423275141,111392.79223971115,112705.33400961592
2023-07-17,112816.21524166939,119279.85618431937,111543.28652734101,111525.61499802748,112987.04833787454
2023-07-18,113212.56521644714,120166.19934684713,111909.04351197035,111913.21923818953,113518.55901296875
2023-07-19,113538.40233859247,120433.41113567805,112216.58209345491,112189.13878880326,113752.2804214302
2023-07-20,112587.36562118775,119634.39344933048,111298.82632471892,111235.63193600705,112608.16880818528
2023-07-21,112615.0512230071,119634.39344933048,111335.71335444495,111270.82615734186,112598.83817739096
2023-07-24,112838.42553154229,120168.85037323617,111505.47528941692,111531.0492211596,112836.58330639715
2023-07-25,113047.2336150738,120496.90238403968,111689.86187347461,111588.3447200671,113099.3592164878
2023-07-26,113326.12385348152,120515.43455908012,111957.46489690912,111832.01919586868,113251.757962614
2023-07-27,112073.59491438323,119716.42520929352,110710.26945195491,110577.44638192625,112246.19044019563
2023-07-28,113157.778925868,120888.47065288776,111804.26226884563,111696.94977827785,113465.97562180835
2023-07-31,113400.39380583493,121118.6764475646,112023.67184896431,111899.7606087591,113669.53167277487
